,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name
AAL,225.0,200.0,200.0,B,B,B,American Airlines Group Inc.
AAPL,355.0,255.0,275.0,BB,B,B,Apple Inc.
ADBE,240.0,210.0,200.0,B,B,B,Adobe Systems Incorporated
ADI,345.0,290.0,307.0,BB,BB,B,Analog Devices Inc.
ADP,520.0,305.0,307.0,A,BB,BB,Automatic Data Processing Inc.
ADSK,560.0,310.0,331.0,A,BB,BB,Autodesk Inc.
AKAM,580.0,375.0,353.0,A,BB,BB,Akamai Technologies Inc.
ALXN,200.0,200.0,201.0,B,B,B,Alexion Pharmaceuticals Inc.
AMAT,543.0,318.0,318.0,A,BB,BB,Applied Materials Inc.
AMGN,527.0,300.0,355.0,A,BB,BB,Amgen Inc.
AMZN,658.0,305.0,303.0,AA,BB,BB,Amazon.com Inc.
ATVI,280.0,300.0,331.0,B,BB,BB,Activision Blizzard Inc
AVGO,240.0,220.0,215.0,B,B,B,Broadcom Limited
BATRA,500.0,300.0,300.0,A,BB,BB,Liberty Media Corporation
BATRK,500.0,300.0,300.0,A,BB,BB,Liberty Media Corporation
BBBY,225.0,205.0,201.0,B,B,B,Bed Bath &amp; Beyond Inc.
BIDU,225.0,205.0,207.0,B,B,B,Baidu Inc.
BIIB,390.0,328.0,320.0,BB,BB,BB,Biogen Inc.
BMRN,525.0,305.0,304.0,A,BB,BB,BioMarin Pharmaceutical Inc.
CA,200.0,215.0,220.0,B,B,B,CA Inc.
CERN,515.0,300.0,307.0,A,BB,BB,Cerner Corporation
CHKP,545.0,300.0,310.0,A,BB,BB,Check Point Software Technologies Ltd.
CHTR,500.0,300.0,300.0,A,BB,BB,Charter Communications Inc.
CMCSA,505.0,310.0,356.0,A,BB,BB,Comcast Corporation
COST,540.0,210.0,305.0,A,BB,B,Costco Wholesale Corporation
CSCO,235.0,210.0,239.0,B,B,B,Cisco Systems Inc.
CSX,545.0,308.0,315.0,A,BB,BB,CSX Corporation
CTSH,600.0,300.0,407.0,AA,BBB,BB,Cognizant Technology Solutions Corporation
CTXS,555.0,305.0,328.0,A,BB,BB,Citrix Systems Inc.
DISCA,505.0,305.0,303.0,A,BB,BB,Discovery Communications Inc.
DISH,210.0,205.0,257.0,B,B,B,DISH Network Corporation
DLTR,205.0,200.0,230.0,B,B,B,Dollar Tree Inc.
EA,395.0,225.0,303.0,BB,BB,B,Electronic Arts Inc.
EBAY,515.0,300.0,300.0,A,BB,BB,eBay Inc.
ENDP,500.0,312.0,300.0,A,BB,BB,Endo International plc
EXPE,227.0,300.0,235.0,B,B,BB,Expedia Inc.
FAST,230.0,200.0,303.0,B,BB,B,Fastenal Company
FB,520.0,305.0,281.0,A,B,BB,Facebook Inc.
FISV,400.0,300.0,300.0,BBB,BB,BB,Fiserv Inc.
FOX,65.0,290.0,273.0,DDD,B,B,Twenty-First Century Fox Inc.
FOXA,290.0,300.0,300.0,B,BB,BB,Twenty-First Century Fox Inc.
GILD,500.0,300.0,303.0,A,BB,BB,Gilead Sciences Inc.
GOOG,210.0,345.0,340.0,B,BB,BB,Alphabet Inc.
GOOGL,290.0,325.0,200.0,B,B,BB,Alphabet Inc.
HSIC,210.0,200.0,204.0,B,B,B,Henry Schein Inc.
ILMN,500.0,300.0,303.0,A,BB,BB,Illumina Inc.
INCY,505.0,300.0,312.0,A,BB,BB,Incyte Corporation
INTC,350.0,465.0,325.0,BB,BB,BBB,Intel Corporation
INTU,545.0,300.0,302.0,A,BB,BB,Intuit Inc.
ISRG,530.0,281.0,262.0,A,B,B,Intuitive Surgical Inc.
JD,500.0,310.0,236.0,A,B,BB,JD.com Inc.
KHC,515.0,300.0,321.0,A,BB,BB,The Kraft Heinz Company
LBTYA,550.0,310.0,353.0,A,BB,BB,Liberty Global plc
LRCX,545.0,310.0,324.0,A,BB,BB,Lam Research Corporation
MAR,210.0,210.0,207.0,B,B,B,Marriott International
MAT,215.0,305.0,301.0,B,BB,BB,Mattel Inc.
MDLZ,513.0,300.0,327.0,A,BB,BB,Mondelez International Inc.
MNST,615.0,325.0,307.0,AA,BB,BB,Monster Beverage Corporation
MSFT,415.0,205.0,232.0,BBB,B,B,Microsoft Corporation
MU,535.0,310.0,308.0,A,BB,BB,Micron Technology Inc.
MXIM,315.0,205.0,318.0,BB,BB,B,Maxim Integrated Products Inc.
MYL,533.0,300.0,304.0,A,BB,BB,Mylan N.V.
NCLH,555.0,305.0,302.0,A,BB,BB,Norwegian Cruise Line Holdings Ltd.
NTAP,535.0,315.0,346.0,A,BB,BB,NetApp Inc.
NTES,505.0,300.0,295.0,A,B,BB,NetEase Inc.
NVDA,323.0,280.0,304.0,BB,BB,B,NVIDIA Corporation
NXPI,525.0,305.0,331.0,A,BB,BB,NXP Semiconductors N.V.
ORLY,500.0,300.0,300.0,A,BB,BB,'O''Reilly Automotive Inc.'
PAYX,505.0,320.0,341.0,A,BB,BB,Paychex Inc.
PCAR,530.0,305.0,382.0,A,BB,BB,PACCAR Inc.
PYPL,400.0,318.0,230.0,BBB,B,BB,PayPal Holdings Inc.
QCOM,404.0,300.0,300.0,BBB,BB,BB,QUALCOMM Incorporated
REGN,525.0,300.0,301.0,A,BB,BB,Regeneron Pharmaceuticals Inc.
ROST,385.0,300.0,304.0,BB,BB,BB,Ross Stores Inc.
SBAC,250.0,215.0,251.0,B,B,B,SBA Communications Corporation
SBUX,515.0,303.0,335.0,A,BB,BB,Starbucks Corporation
SIRI,240.0,205.0,301.0,B,BB,B,Sirius XM Holdings Inc.
SRCL,575.0,300.0,319.0,A,BB,BB,Stericycle Inc.
STX,515.0,315.0,310.0,A,BB,BB,Seagate Technology PLC
SWKS,505.0,270.0,305.0,A,BB,B,Skyworks Solutions Inc.
SYMC,500.0,300.0,300.0,A,BB,BB,Symantec Corporation
TMUS,391.0,225.0,308.0,BB,BB,B,T-Mobile US Inc.
TRIP,210.0,200.0,214.0,B,B,B,TripAdvisor Inc.
TSCO,503.0,305.0,300.0,A,BB,BB,Tractor Supply Company
TSLA,563.0,255.0,146.0,A,CC,B,Tesla Motors Inc.
TXN,500.0,300.0,300.0,A,BB,BB,Texas Instruments Incorporated
ULTA,200.0,205.0,228.0,B,B,B,Ulta Salon Cosmetics &amp; Fragrance Inc.
VRSK,650.0,300.0,365.0,AA,BB,BB,Verisk Analytics Inc.
VRTX,294.0,300.0,300.0,B,BB,BB,Vertex Pharmaceuticals Incorporated
WBA,510.0,300.0,301.0,A,BB,BB,Walgreens Boots Alliance Inc.
WDC,415.0,240.0,305.0,BBB,BB,B,Western Digital Corporation
XLNX,360.0,300.0,304.0,BB,BB,BB,Xilinx Inc.
NLSN,540.0,300.0,300.0,A,BB,BB,Nielsen Holdings plc
PVH,363.0,350.0,326.0,BB,BB,BB,PVH Corp.
GPS,520.0,328.0,352.0,A,BB,BB,"The Gap, Inc."
ALK,500.0,220.0,307.0,A,BB,B,"Alaska Air Group, Inc."
PENN,341.0,210.0,323.0,BB,BB,B,"Penn National Gaming, Inc."
DXC,510.0,308.0,355.0,A,BB,BB,DXC Technology Company
VNO,535.0,310.0,318.0,A,BB,BB,Vornado Realty Trust
UA,240.0,200.0,311.0,B,BB,B,"Under Armour, Inc."
HII,560.0,310.0,319.0,A,BB,BB,"Huntington Ingalls Industries, Inc."
IPGP,477.0,245.0,302.0,BBB,BB,B,IPG Photonics Corporation
OGN,565.0,300.0,301.0,A,BB,BB,Organon & Co.
RL,405.0,305.0,262.0,BBB,B,BB,Ralph Lauren Corporation
PNW,629.0,300.0,479.0,AA,BBB,BB,Pinnacle West Capital Corporation
PBCT,225.0,228.0,300.0,B,BB,B,"Peoples United Financial, Inc."
AIZ,230.0,225.0,300.0,B,BB,B,"Assurant, Inc."
ANET,414.0,285.0,308.0,BBB,BB,B,"Arista Networks, Inc."
LW,348.0,305.0,251.0,BB,B,BB,"Lamb Weston Holdings, Inc."
NRG,371.0,223.0,296.0,BB,B,B,"NRG Energy, Inc."
WYNN,205.0,205.0,201.0,B,B,B,"Wynn Resorts, Limited"
FRT,525.0,300.0,302.0,A,BB,BB,Federal Realty Investment Trust
NWL,520.0,330.0,306.0,A,BB,BB,Newell Brands Inc.
SEE,555.0,245.0,318.0,A,BB,B,Sealed Air Corporation
IVZ,278.0,300.0,220.0,B,B,BB,Invictus Energy Limited
PNR,402.0,335.0,351.0,BBB,BB,BB,Pentair plc
TPR,515.0,313.0,364.0,A,BB,BB,"Tapestry, Inc."
GL,215.0,215.0,238.0,B,B,B,Group Lease Public Company Limited
MHK,520.0,238.0,281.0,A,B,B,"Mohawk Industries, Inc."
JNPR,225.0,205.0,332.0,B,BB,B,"Juniper Networks, Inc."
CDAY,560.0,320.0,379.0,A,BB,BB,Ceridian HCM Holding Inc.
BWA,245.0,228.0,205.0,B,B,B,BorgWarner Inc.
ZION,200.0,200.0,200.0,B,B,B,"Zions Bancorporation, National Association"
,240.0,213.0,300.0,B,BB,B,Zion
UHS,415.0,338.0,321.0,BBB,BB,BB,"Universal Health Services, Inc."
ALLE,542.0,315.0,322.0,A,BB,BB,Allegion plc
NI,321.0,213.0,298.0,BB,B,B,NiSource Inc.
SNA,500.0,256.0,300.0,A,BB,B,Snap-on Incorporated
SEDG,740.0,250.0,302.0,AA,BB,B,"SolarEdge Technologies, Inc."
RE,448.0,290.0,272.0,BBB,B,B,"Everest Re Group, Ltd."
DVA,220.0,300.0,300.0,B,BB,BB,DaVita Inc.
XRAY,460.0,230.0,253.0,BBB,B,B,DENTSPLY SIRONA Inc.
WRK,535.0,300.0,318.0,A,BB,BB,WestRock Company
JKHY,365.0,310.0,277.0,BB,B,BB,"Jack Henry & Associates, Inc."
HST,505.0,318.0,318.0,A,BB,BB,"Host Hotels & Resorts, Inc."
REG,570.0,365.0,372.0,A,BB,BB,Regency Centers Corporation
APA,410.0,325.0,323.0,BBB,BB,BB,Apache Corporation
CMA,280.0,230.0,300.0,B,BB,B,Comerica Incorporated
WHR,505.0,300.0,320.0,A,BB,BB,Whirlpool Corporation
LUMN,520.0,338.0,326.0,A,BB,BB,"Lumen Technologies, Inc."
AOS,505.0,300.0,309.0,A,BB,BB,A. O. Smith Corporation
HAS,265.0,320.0,327.0,B,BB,BB,"Hasbro, Inc."
CBOE,515.0,300.0,307.0,A,BB,BB,"Cboe Global Markets, Inc."
FBHS,505.0,300.0,302.0,A,BB,BB,"Fortune Brands Home & Security, Inc."
RHI,255.0,310.0,333.0,B,BB,BB,Robert Half International Inc.
LNC,550.0,308.0,305.0,A,BB,BB,Lincoln National Corporation
FFIV,260.0,215.0,220.0,B,B,B,"F5 Networks, Inc."
LDOS,540.0,300.0,300.0,A,BB,BB,"Leidos Holdings, Inc."
NWSA,505.0,310.0,306.0,A,BB,BB,News Corporation
NWS,500.0,308.0,301.0,A,BB,BB,News Corporation
MKTX,255.0,210.0,214.0,B,B,B,MarketAxess Holdings Inc.
ABMD,500.0,305.0,324.0,A,BB,BB,"Abiomed, Inc."
IRM,500.0,300.0,300.0,A,BB,BB,Iron Mountain Incorporated
PHM,200.0,285.0,205.0,B,B,B,"PulteGroup, Inc."
PTC,555.0,400.0,316.0,A,BB,BBB,PTC Inc.
HWM,515.0,320.0,306.0,A,BB,BB,Howmet Aerospace Inc.
UAL,205.0,238.0,292.0,B,B,B,"United Airlines Holdings, Inc."
IPG,500.0,300.0,300.0,A,BB,BB,"The Interpublic Group of Companies, Inc."
CPB,532.0,305.0,342.0,A,BB,BB,Campbell Soup Company
CHRW,555.0,330.0,332.0,A,BB,BB,"C.H. Robinson Worldwide, Inc."
PKG,500.0,300.0,303.0,A,BB,BB,Packaging Corporation of America
BBWI,515.0,310.0,351.0,A,BB,BB,"Bath & Body Works, Inc."
FMC,515.0,305.0,305.0,A,BB,BB,FMC Corporation
PWR,542.0,305.0,391.0,A,BB,BB,"Quanta Services, Inc."
TFX,200.0,200.0,200.0,B,B,B,Teleflex Incorporated
TECH,520.0,300.0,269.0,A,B,BB,Bio-Techne Corporation
ATO,518.0,300.0,301.0,A,BB,BB,Atmos Energy Corporation
AAP,282.0,228.0,313.0,B,BB,B,"Advance Auto Parts, Inc."
QRVO,510.0,300.0,309.0,A,BB,BB,"Qorvo, Inc."
ROL,500.0,300.0,320.0,A,BB,BB,"Rollins, Inc."
WRB,360.0,300.0,294.0,BB,B,BB,W. R. Berkley Corporation
KIM,545.0,320.0,318.0,A,BB,BB,Kimco Realty Corporation
EVRG,563.0,300.0,339.0,A,BB,BB,"Evergy, Inc."
LNT,552.0,300.0,305.0,A,BB,BB,Alliant Energy Corporation
CF,530.0,305.0,343.0,A,BB,BB,"CF Industries Holdings, Inc."
TXT,595.0,300.0,348.0,A,BB,BB,Textron Inc.
AES,505.0,350.0,309.0,A,BB,BB,The AES Corporation
NLOK,520.0,345.0,301.0,A,BB,BB,NortonLifeLock Inc
CAH,518.0,319.0,310.0,A,BB,BB,"Cardinal Health, Inc."
L,505.0,305.0,301.0,A,BB,BB,Loews Corporation
MOS,510.0,300.0,336.0,A,BB,BB,The Mosaic Company
MAS,507.0,305.0,302.0,A,BB,BB,Masco Corporation
CZR,285.0,200.0,208.0,B,B,B,"Caesars Entertainment, Inc."
SJM,500.0,305.0,307.0,A,BB,BB,The J. M. Smucker Company
FDS,633.0,311.0,332.0,AA,BB,BB,FactSet Research Systems Inc.
MRO,530.0,305.0,306.0,A,BB,BB,Melrose Industries PLC
OMC,553.0,310.0,330.0,A,BB,BB,Omnicom Group Inc.
LKQ,505.0,305.0,300.0,A,BB,BB,LKQ Corporation
DPZ,205.0,200.0,201.0,B,B,B,"Dominos Pizza, Inc."
BEN,326.0,305.0,350.0,BB,BB,BB,"Franklin Resources, Inc."
CRL,510.0,245.0,322.0,A,BB,B,"Charles River Laboratories International, Inc."
IEX,360.0,240.0,306.0,BB,BB,B,IDEX Corporation
EMN,588.0,315.0,389.0,A,BB,BB,Eastman Chemical Company
ENPH,703.0,315.0,325.0,AA,BB,BB,"Enphase Energy, Inc."
GNRC,647.0,245.0,358.0,AA,BB,B,Generac Holdings Inc.
AVY,540.0,325.0,347.0,A,BB,BB,Avery Dennison Corporation
WAB,616.0,310.0,330.0,AA,BB,BB,Wabtec Corporation
J,200.0,210.0,202.0,B,B,B,JAS Asset Public Company Limited
3086,225.0,316.0,211.0,B,B,BB,J
DGX,230.0,205.0,300.0,B,BB,B,Quest Diagnostics Incorporated
CTLT,468.0,305.0,301.0,BBB,BB,BB,"Catalent, Inc."
MPWR,330.0,235.0,287.0,BB,B,B,"Monolithic Power Systems, Inc."
TRMB,510.0,310.0,326.0,A,BB,BB,Trimble Inc.
UDR,220.0,230.0,304.0,B,BB,B,"UDR, Inc."
BIO,285.0,300.0,227.0,B,B,BB,"Bio-Rad Laboratories, Inc."
CAG,505.0,300.0,300.0,A,BB,BB,"Conagra Brands, Inc."
KMX,234.0,305.0,238.0,B,B,BB,"CarMax, Inc."
CTRA,500.0,300.0,282.0,A,B,BB,Coterra Energy Inc.
HOLX,520.0,300.0,338.0,A,BB,BB,"Hologic, Inc."
CNP,550.0,260.0,310.0,A,BB,B,"CenterPoint Energy, Inc."
BXP,552.0,305.0,351.0,A,BB,BB,"Boston Properties, Inc."
DRI,645.0,310.0,334.0,AA,BB,BB,"Darden Restaurants, Inc."
CE,500.0,300.0,251.0,A,B,BB,Credito Emiliano
BRO,295.0,300.0,303.0,B,BB,BB,"Brown & Brown, Inc."
BR,595.0,340.0,314.0,A,BB,BB,"Broadridge Financial Solutions, Inc."
NVR,275.0,205.0,200.0,B,B,B,"NVR, Inc."
VTRS,356.0,300.0,301.0,BB,BB,BB,Viatris Inc.
ETSY,227.0,200.0,215.0,B,B,B,"Etsy, Inc."
TYL,370.0,305.0,306.0,BB,BB,BB,"Tyler Technologies, Inc."
IP,665.0,328.0,326.0,AA,BB,BB,International Paper Company
SBNY,256.0,215.0,210.0,B,B,B,Signature Bank
PAYC,456.0,315.0,305.0,BBB,BB,BB,"Paycom Software, Inc."
POOL,593.0,310.0,370.0,A,BB,BB,Pool Corporation
XYL,400.0,215.0,276.0,BBB,B,B,Xylem Inc.
FLT,385.0,300.0,229.0,BB,B,BB,"FLEETCOR Technologies, Inc."
TTWO,205.0,305.0,312.0,B,BB,BB,"Take-Two Interactive Software, Inc."
TER,462.0,315.0,332.0,BBB,BB,BB,"Teradyne, Inc."
CINF,225.0,250.0,274.0,B,B,B,Cincinnati Financial Corporation
CMS,550.0,325.0,667.0,A,AA,BB,CMS Energy Corporation
GPC,510.0,320.0,211.0,A,B,BB,Genuine Parts Company
PEAK,535.0,335.0,331.0,A,BB,BB,"Healthpeak Properties, Inc."
TDY,500.0,298.0,300.0,A,BB,B,Teledyne Technologies Incorporated
WAT,320.0,240.0,304.0,BB,BB,B,Waters Corporation
EXPD,510.0,300.0,302.0,A,BB,BB,"Expeditors International of Washington, Inc."
MGM,510.0,235.0,302.0,A,BB,B,MGM Resorts International
PFG,540.0,300.0,320.0,A,BB,BB,"Principal Financial Group, Inc."
RCL,500.0,300.0,300.0,A,BB,BB,Royal Caribbean Group
JBHT,535.0,300.0,391.0,A,BB,BB,"J.B. Hunt Transport Services, Inc."
COO,500.0,300.0,300.0,A,BB,BB,"The Cooper Companies, Inc."
CLX,593.0,355.0,361.0,A,BB,BB,The Clorox Company
VTR,500.0,300.0,301.0,A,BB,BB,"Ventas, Inc."
HPE,410.0,250.0,311.0,BBB,BB,B,Hewlett Packard Enterprise Company
VIAC,500.0,310.0,322.0,A,BB,BB,ViacomCBS Inc.
PKI,520.0,325.0,314.0,A,BB,BB,"PerkinElmer, Inc."
ESS,377.0,210.0,304.0,BB,BB,B,"Essex Property Trust, Inc."
RJF,500.0,305.0,309.0,A,BB,BB,"Raymond James Financial, Inc."
DRE,513.0,300.0,306.0,A,BB,BB,Duke Realty Corporation
CCL,560.0,310.0,359.0,A,BB,BB,Carnival Corporation & Plc
STE,510.0,305.0,301.0,A,BB,BB,STERIS plc
MTB,500.0,280.0,300.0,A,BB,B,M&T Bank Corporation
HBAN,243.0,285.0,300.0,B,BB,B,Huntington Bancshares Incorporated
RF,455.0,300.0,302.0,BBB,BB,BB,Eurazeo SE
CFG,225.0,200.0,220.0,B,B,B,"Citizens Financial Group, Inc."
ETR,515.0,310.0,306.0,A,BB,BB,Entergy Corporation
AEE,522.0,300.0,362.0,A,BB,BB,Ameren Corporation
K,315.0,323.0,380.0,BB,BB,BB,Kellogg Company
IR,525.0,310.0,314.0,A,BB,BB,Ingersoll Rand Inc.
